model_name,GPQA Diamond,AIME 2025,MMLU,MMLU-Pro,SWE-bench Verified,MATH-500,LiveCodeBench,FrontierMath,HLE (Humanity's Last Exam),ARC-AGI-2,BrowseComp,SimpleQA,IFEval,HumanEval,Codeforces Rating,OSWorld,MMMU,MMMU-Pro,Arena-Hard Auto,Chatbot Arena Elo,SWE-bench Pro,AIME 2024,HMMT Feb 2025,Tau-Bench Retail,CritPt,GSM8K,Terminal-Bench 2.0,Terminal-Bench 1.0,ARC-AGI-1,BRUMO 2025,SMT 2025,HMMT Nov 2025,CMIMC 2025,MathArena Apex 2025,LiveBench
o3-mini (high),79.7,86.5,86.9,80.0,49.3,97.9,74.1,11.0,13.0,3.0,68.24375,13.8,88.0,97.6,2130.0,52.42631578947368,78.92448275862068,77.26923076923077,43.0,1364.0,41.94842105263158,87.3,50.0,84.65833333333335,5.266666666666667,88.70357142857141,40.48571428571429,28.311111111111114,34.5,91.97263157894737,85.1136842105263,89.44416666666667,81.87705882352941,7.753125000000001,61.00833333333335
GPT-4.5,71.4,77.52542372881355,89.6,74.3,38.0,91.89791044776119,60.247361111111104,22.295454545454547,25.5028947368421,0.8,68.24375,62.5,86.5,86.6,1995.204081632653,52.42631578947368,78.92448275862068,77.26923076923077,51.4,1428.7916666666667,41.94842105263158,36.7,66.57000000000001,84.65833333333335,5.266666666666667,88.70357142857141,40.48571428571429,28.311111111111114,10.3,91.97263157894737,85.1136842105263,89.44416666666667,81.87705882352941,7.753125000000001,61.00833333333335
GPT-4.1,66.3,46.4,90.2,81.8,54.6,92.4,44.7,22.295454545454547,3.7,0.4,68.24375,42.3,87.4,92.0,1807.0,52.42631578947368,74.8,77.26923076923077,61.5,1428.7916666666667,41.94842105263158,46.5,19.4,84.65833333333335,5.266666666666667,88.70357142857141,40.48571428571429,30.3,5.5,91.97263157894737,85.1136842105263,89.44416666666667,81.87705882352941,7.753125000000001,61.00833333333335
GPT-4.1 mini,55.0,77.52542372881355,86.0,76.35057971014493,61.84464285714285,91.89791044776119,60.247361111111104,22.295454545454547,25.5028947368421,0.0,68.24375,20.0,84.1,90.0,1995.204081632653,52.42631578947368,71.1,77.26923076923077,28.2,1428.7916666666667,41.94842105263158,69.7050847457627,66.57000000000001,84.65833333333335,5.266666666666667,88.70357142857141,40.48571428571429,28.311111111111114,3.5,91.97263157894737,85.1136842105263,89.44416666666667,81.87705882352941,7.753125000000001,61.00833333333335
o3 (high),87.7,88.9,93.3,85.9,69.1,99.2,75.8,10.0,19.78,6.5,49.7,48.6,92.1,88.4,2706.0,52.42631578947368,80.1,75.0,85.9,1428.7916666666667,41.94842105263158,96.7,77.5,84.65833333333335,1.4,88.70357142857141,40.48571428571429,30.2,75.7,95.83,87.74,89.44416666666667,79.38,7.753125000000001,61.00833333333335
o4-mini (high),81.4,92.7,90.3,81.9,68.1,98.2,80.2,17.0,18.9,6.1,68.24375,19.3,92.4,98.5,2719.0,52.42631578947368,79.7,77.26923076923077,79.1,1428.7916666666667,41.94842105263158,93.4,66.7,84.65833333333335,0.6,88.70357142857141,40.48571428571429,18.5,58.7,86.67,88.68,89.44416666666667,84.38,7.753125000000001,61.00833333333335
GPT-5,88.4,94.6,91.0,87.0,74.9,99.4,84.5,25.2,35.2,9.9,54.9,55.0,90.0,94.0,2537.0,40.0,84.2,77.26923076923077,63.388888888888886,1460.0,41.78,94.6,88.3,84.65833333333335,5.7,88.70357142857141,35.2,41.3,65.7,91.67,91.98,89.17,90.0,1.04,70.5
gpt-oss-120B,80.9,97.9,90.0,90.0,62.4,98.0,75.0,22.295454545454547,25.5028947368421,16.996875000000003,68.24375,38.17551020408163,88.0,92.0,2620.0,52.42631578947368,78.92448275862068,77.26923076923077,63.388888888888886,1428.7916666666667,41.94842105263158,96.6,66.57000000000001,67.8,5.266666666666667,88.70357142857141,18.7,28.311111111111114,44.754838709677415,91.97263157894737,85.1136842105263,89.44416666666667,81.87705882352941,7.753125000000001,61.00833333333335
gpt-oss-20B,71.5,98.7,85.3,85.3,52.0,97.0,70.0,22.295454545454547,25.5028947368421,16.996875000000003,68.24375,38.17551020408163,85.0,85.0,1985.0,52.42631578947368,78.92448275862068,77.26923076923077,63.388888888888886,1428.7916666666667,41.94842105263158,98.7,66.57000000000001,84.65833333333335,5.266666666666667,88.70357142857141,3.1,28.311111111111114,44.754838709677415,91.97263157894737,85.1136842105263,89.44416666666667,81.87705882352941,7.753125000000001,61.00833333333335
GPT-5.1,88.1,94.0,90.0,87.5,76.3,99.0,82.0,31.0,32.0,17.6,60.0,55.0,84.44838235294117,85.81328358208957,1995.204081632653,52.42631578947368,84.2,85.4,63.388888888888886,1464.0,45.0,69.7050847457627,66.57000000000001,84.65833333333335,5.266666666666667,88.70357142857141,47.6,28.311111111111114,72.8,93.33,91.04,91.67,91.88,1.04,61.00833333333335
GPT-5.2,93.2,100.0,88.0,86.7,80.0,99.4,80.0,40.3,35.2,52.9,77.9,58.0,95.0,95.0,2800.0,38.2,86.67,86.5,63.388888888888886,1440.0,55.6,100.0,99.4,88.0,11.6,88.70357142857141,54.0,28.311111111111114,90.5,98.33,91.98,95.83,91.25,13.54,61.00833333333335
GPT-5.3-Codex,81.0,94.0,94.0,76.35057971014493,56.8,96.0,85.0,22.295454545454547,25.5028947368421,16.996875000000003,68.24375,38.17551020408163,92.0,93.0,1995.204081632653,64.7,84.0,77.26923076923077,63.388888888888886,1428.7916666666667,56.8,69.7050847457627,66.57000000000001,84.65833333333335,5.266666666666667,99.0,64.7,28.311111111111114,44.754838709677415,91.97263157894737,85.1136842105263,89.44416666666667,81.87705882352941,7.753125000000001,61.00833333333335
Claude 3.7 Sonnet,84.8,52.7,89.0,78.0,62.3,96.2,65.0,5.0,25.5028947368421,1.0,68.24375,26.0,93.2,94.0,1640.0,28.0,71.6,77.26923076923077,63.9,1372.0,25.6,80.0,66.57000000000001,81.2,5.266666666666667,88.70357142857141,40.48571428571429,35.2,28.6,65.83,56.6,89.44416666666667,81.87705882352941,7.753125000000001,61.00833333333335
Claude Sonnet 4,75.4,76.3,86.5,83.7,72.7,94.0,48.5,22.295454545454547,5.8,5.9,68.24375,15.9,87.6,88.0,1995.204081632653,42.0,74.4,77.26923076923077,51.6,1428.7916666666667,42.7,43.4,15.9,80.5,5.266666666666667,88.70357142857141,38.5,36.4,40.0,91.97263157894737,85.1136842105263,89.44416666666667,81.87705882352941,7.753125000000001,61.00833333333335
Claude Opus 4,83.3,90.0,88.8,86.6,79.4,94.4,47.4,10.0,7.1,8.6,68.24375,22.8,89.7,85.81328358208957,1886.0,38.2,76.5,77.26923076923077,59.7,1428.7916666666667,35.8,75.5,15.9,81.4,0.3,88.70357142857141,43.2,39.0,35.7,91.97263157894737,85.1136842105263,89.44416666666667,81.87705882352941,7.753125000000001,61.00833333333335
Claude Opus 4.1,80.9,49.6,88.8,87.92,74.5,91.89791044776119,63.2,15.0,35.0,16.996875000000003,68.24375,43.5,84.44838235294117,93.0,1995.204081632653,44.4,78.92448275862068,77.26923076923077,63.388888888888886,1428.7916666666667,22.7,69.7050847457627,66.57000000000001,84.65833333333335,5.266666666666667,88.70357142857141,38.0,43.8,44.754838709677415,91.97263157894737,85.1136842105263,89.44416666666667,81.87705882352941,7.753125000000001,54.5
Claude Sonnet 4.5,83.4,87.0,86.5,87.5,77.2,95.8,68.0,22.295454545454547,19.8,13.6,68.24375,47.0,88.5,85.0,1480.0,61.4,77.8,63.4,63.388888888888886,1428.7916666666667,43.6,88.0,79.2,86.2,5.266666666666667,88.70357142857141,42.8,51.0,63.7,90.83,83.96,89.44416666666667,66.88,1.56,53.7
Claude Haiku 4.5,80.9,96.3,82.0,75.0,73.3,90.2,52.0,22.295454545454547,25.5028947368421,4.0,68.24375,38.17551020408163,85.0,91.5,1995.204081632653,50.7,78.92448275862068,77.26923076923077,63.388888888888886,1428.7916666666667,39.45,69.7050847457627,66.57000000000001,84.65833333333335,5.266666666666667,88.70357142857141,28.3,28.311111111111114,47.7,91.97263157894737,85.1136842105263,89.44416666666667,81.87705882352941,7.753125000000001,45.3
Claude Opus 4.5,87.0,92.8,90.8,80.0,80.9,85.0,68.0,21.0,37.6,37.6,67.8,72.0,90.0,95.1,2070.0,66.3,80.7,77.26923076923077,63.388888888888886,1468.0,45.89,90.0,92.9,88.9,5.266666666666667,88.70357142857141,57.8,28.311111111111114,80.0,91.97263157894737,85.1136842105263,89.44416666666667,81.87705882352941,7.753125000000001,76.0
Claude Opus 4.6,91.3,100.0,90.8,82.0,80.8,93.0,76.0,40.0,40.0,68.8,84.0,72.0,94.0,95.0,2650.0,72.7,77.0,77.3,63.388888888888886,1502.0,55.6,69.7050847457627,66.57000000000001,91.9,12.6,88.70357142857141,62.9,28.311111111111114,94.0,91.97263157894737,85.1136842105263,89.44416666666667,81.87705882352941,7.753125000000001,61.00833333333335
Claude Sonnet 4.6,74.1,97.0,90.0,80.0,79.6,96.5,74.0,35.0,38.0,60.4,78.0,68.0,92.0,93.0,2010.0,72.5,74.2,74.5,63.388888888888886,1428.7916666666667,48.2,69.7050847457627,66.57000000000001,89.0,5.266666666666667,88.70357142857141,59.1,28.311111111111114,55.0,91.97263157894737,85.1136842105263,89.44416666666667,81.87705882352941,7.753125000000001,61.00833333333335
