model_name,GPQA Diamond,AIME 2025,MMLU,MMLU-Pro,SWE-bench Verified,MATH-500,LiveCodeBench,FrontierMath,HLE (Humanity's Last Exam),ARC-AGI-2,BrowseComp,SimpleQA,IFEval,HumanEval,Codeforces Rating,OSWorld,MMMU,Arena-Hard Auto,Chatbot Arena Elo,SWE-bench Pro,AIME 2024,HMMT Feb 2025,Terminal-Bench 2.0,Terminal-Bench 1.0,ARC-AGI-1,BRUMO 2025,SMT 2025,CMIMC 2025,MathArena Apex 2025
o3-mini (high),78.01204819277108,84.09893992932862,82.76280650643362,84.67667790376954,40.26465028355386,93.11926605504587,78.72611464968153,16.997167138810198,20.000000000000004,3.891050583657588,,1.018675721561972,80.44692737430167,98.31775700934578,59.909909909909906,,,38.93905191873589,15.853658536585366,,85.77827547592385,40.83832335329341,,,36.36363636363637,,,,
GPT-4.5,65.51204819277109,,89.31779558145179,75.94238430891816,18.90359168241966,,,,,1.0376134889753568,,83.7011884550085,76.25698324022346,77.75700934579437,,,,48.419864559819416,,,29.11534154535275,,,,10.481283422459894,,,,
GPT-4.1,57.831325301204814,36.866902237926965,90.77445982034475,87.43487588109102,50.28355387523629,67.88990825688074,41.27388535031848,,0.0,0.5188067444876784,,49.40577249575553,78.77094972067042,87.85046728971963,45.36036036036036,,29.621503017004905,59.819413092550796,,,40.08958566629339,4.191616766467064,,54.30463576158941,5.347593582887701,,,,
o3 (high),90.06024096385542,86.92579505300354,98.30055838795823,93.71743794054552,77.69376181474478,99.08256880733944,80.89171974522293,14.164305949008499,34.58064516129033,8.430609597924773,13.603818615751793,60.101867572156216,91.8994413407821,81.12149532710282,85.85585585585585,,58.694459681843085,87.35891647855532,,,96.30459126539753,73.77245508982035,,54.083885209713024,80.42780748663101,87.79631255487269,84.61956521739128,65.72212065813528,
o4-mini (high),80.57228915662651,91.40164899882215,91.01723719349356,87.58810910205334,75.80340264650282,94.4954128440367,86.49681528662421,33.994334277620396,32.68817204301075,7.911802853437095,,10.356536502546692,92.73743016759778,100.0,86.44144144144144,,56.5002742731761,79.68397291196388,,,92.60918253079508,60.83832335329341,,28.256070640176603,62.24598930481283,60.98917178811824,87.17391304347827,77.14808043875686,
GPT-5,91.11445783132531,93.63957597173145,92.71667880553532,95.40300337113086,88.65784499054821,99.99999999999999,91.97452229299363,57.22379603399434,67.74193548387098,12.84046692607004,26.014319809069203,70.96774193548389,86.03351955307262,91.58878504672897,78.24324324324324,26.845637583892614,81.18486012068023,,74.39024390243902,55.953079178885645,93.95296752519597,86.70658682634729,49.08256880733945,78.58719646799116,69.73262032085562,75.62189054726369,96.1413043478261,89.99085923217552,3.1044776119402986
gpt-oss-120B,79.81927710843374,97.52650176678446,90.28890507404711,100.0,65.02835538752362,93.57798165137612,79.87261146496816,,,,,,80.44692737430167,87.85046728971963,81.98198198198199,,,,,,96.1926091825308,,23.85321100917431,,,,,,
gpt-oss-20B,65.66265060240963,98.46878680800941,78.87836853605243,92.79803861477167,45.368620037807176,88.99082568807337,73.5031847133758,,,,,,72.06703910614524,74.76635514018692,53.37837837837838,,,,,,98.54423292273236,,0.0,,,,,,
GPT-5.1,90.66265060240963,92.93286219081273,90.28890507404711,96.1691694759424,91.30434782608695,98.16513761467887,88.78980891719745,73.6543909348442,60.86021505376344,22.82749675745785,38.18615751789976,70.96774193548389,,,,,81.18486012068023,,76.82926829268293,65.3958944281525,,,68.04281345565748,,77.32620320855615,80.47995317529997,93.58695652173913,94.28702010968922,3.1044776119402986
GPT-5.2,98.3433734939759,100.0,85.43335761107065,94.94330370824396,98.29867674858222,99.99999999999999,86.24203821656052,100.0,67.74193548387098,68.61219195849547,80.90692124105011,76.06112054329373,100.0,93.45794392523365,90.09009009009009,22.81879194630873,94.73395501919914,,62.19512195121951,96.48093841642232,100.0,100.0,77.82874617737002,,96.2566844919786,95.11267193444542,96.1413043478261,92.84734917733091,40.417910447761194
