model_name,AA Intelligence Index,AA Long Context Reasoning,AIME 2024,AIME 2025,AIME 2026,ARC-AGI-1,ARC-AGI-2,Arena-Hard Auto,BigCodeBench,BrowseComp,BRUMO 2025,Chatbot Arena Elo,CMIMC 2025,Codeforces Rating,CritPt,FrontierMath,GDP-Val AA,GPQA Diamond,GSM8K,HLE (Humanity's Last Exam),HMMT Feb 2025,HMMT Nov 2025,HumanEval,IFBench,IFEval,IMO 2025,LiveBench,LiveCodeBench,MATH-500,MathArena Apex 2025,MathVision,MMLU,MMLU-Pro,MMMU,MMMU-Pro,MRCR v2,OSWorld,SciCode,SimpleBench,SimpleQA,SMT 2025,SWE-bench Pro,SWE-bench Verified,Tau-Bench Retail,Tau-Bench Telecom,Terminal-Bench 2.0,Terminal-Bench 1.0,USAMO 2025,Video-MMU
Amazon Nova Premier,45.17401704822943,8.830724926286157,44.861030359692236,53.08212290544464,47.358734926364335,-19.12429098258192,-11.622409736249898,78.6476273984038,49.688137244293,8.38720281220468,29.650000586675496,11.159073703410767,10.147793715413952,28.890388127750875,-4.4435908346113475,-1.5841633069083527,89.21168635921855,43.29004329004329,84.85208930903796,3.7881028570305815,21.407328425975777,-5.1463085361057885,65.42056074766356,-5.274582486991238,76.4065335753176,-5.92717276224112,20.32424585656718,41.628298719325706,71.66123778501628,12.059482640126351,43.80503734736816,84.28571428571429,70.75242153594411,0.0,42.175683128409,92.02647850106575,62.75741001020338,74.65836250058673,51.65730180685742,4.231495016814723,31.590156243470158,86.27047690255522,27.221172022684303,26.998090769522893,70.43251120516375,32.17374153877174,-22.25248652772217,-7.619264470208029,66.37654747329232
Amazon Nova Pro,52.80520146533311,32.55691598786794,38.58002717929071,55.77276587739955,51.054221836300925,-28.68560422069152,-6.756838998905579,84.04290627737936,13.229421182163419,88.67170770430327,68.21855258529195,28.316631967864318,67.25734233297436,26.778110279448594,15.901418336061862,50.69655306206564,38.34486904493635,31.601731601731604,86.10836515144996,42.831566051417475,64.34466379208534,35.74895571004701,61.6822429906542,-14.926327657923611,72.77676950998185,31.60139433398705,76.16490372473228,38.874869439669745,58.63192182410423,38.67628754766539,57.063718625125276,80.71428571428572,55.426498042817386,27.09518601039684,61.243857386104715,137.27443951074474,69.56907346258403,62.03762237651376,14.91393920034853,28.058398305598278,78.1945542386165,116.34980130298001,1.2418288335755123,32.03849462431122,113.70174067534863,43.72268980528592,-43.32554765251911,10.058984825458175,58.731587869595614
Claude 3.7 Sonnet,55.343255392088565,48.65630528311825,78.94736842105263,44.28739693757361,45.8056237872619,30.425531914893618,1.297016861219196,64.14686825053997,145.6441243700966,-48.5551402901264,0.0,20.73170731707317,29.91288792166298,37.83783783783784,-6.986675574342524,0.0,160.18416913979542,86.2914862914863,80.96339444990042,-16.426015229450403,-16.80980107327876,39.14008157710524,91.58878504672897,45.83334652462491,96.73321234119781,-19.302745405661323,-25.09005999240696,67.13375796178345,94.78827361563518,-24.95999501207652,64.49308728745774,88.0952380952381,81.61201348452346,29.164825452938558,86.48930201732504,19.36185553264654,0.0,43.72733155458501,101.39005613679865,21.73174872665535,0.0,8.50439882697948,64.83931947069942,55.601659751037346,0.0,39.11215768127264,65.12141280353202,2.624540287529254,133.0867065794264
Claude Haiku 4.5,69.54610136317346,13.50546254935836,85.48825134173278,95.64193168433451,12.11180285992709,50.744680851063826,5.188067444876784,70.22222686110801,88.34522287901387,-29.729956893335405,45.512112447942556,43.54739232987614,16.752019289010175,59.30659605689151,0.08098297032602556,-11.307685267381872,37.703629969651075,80.66378066378068,70.36555325330437,20.236190638568544,44.64784953248246,20.128587467364806,86.91588785046729,62.070302614096796,81.85117967332123,-3.3817758462309215,0.0,50.57324840764332,85.01628664495114,-9.253492538284434,58.470192666362415,71.42857142857143,77.01501685565431,41.77406998595024,23.552292034132414,21.979407862001352,50.782997762863545,12.46487246899524,2.9236006288964953,22.576058372340977,41.8427209756007,49.12023460410559,85.63327032136105,39.51727154156004,65.00491320657065,38.532110091743114,56.07829433317884,34.519878726449775,80.2559073266595
Claude Opus 4,57.55358823893079,57.455838655971554,74.21052631578948,88.22143698468787,48.1414228097149,37.97872340425533,11.154345006485086,59.61123110151188,122.98705314687238,-25.04557716453012,24.139584553783322,32.17094634584123,31.06157838411218,48.91891891891892,1.6949152542372883,14.164305949008499,130.4175467554237,84.12698412698413,87.03226618024026,7.311827956989246,0.0,37.65513274484753,91.12497866036335,39.18105109837829,90.38112522686025,6.232017519415107,0.4964762544234609,44.71337579617834,91.85667752442997,-7.346611752286067,60.88379534362253,87.6190476190476,94.79007048728164,50.817498895271775,78.95033208718841,33.582317480580514,22.81879194630873,46.01772118473961,82.93323053446169,16.298811544991516,23.833924297985167,38.41642228739003,97.16446124763706,56.43153526970956,33.38308242405035,61.314984709480115,73.50993377483444,3.483155082136136,115.34865426281478
Claude Opus 4.1,44.71184072045453,81.96246273634608,80.11496581081823,40.63604240282685,39.831975713121224,78.98453237576186,36.80478747333419,22.2233816967273,84.28026216707704,4.718532026630654,44.42361862165545,54.9780369396503,33.45881904553959,58.051457399699274,31.018429025371532,28.328611898016998,69.15556800172921,80.66378066378068,68.65040469441448,67.31182795698925,38.886784938242684,45.40129569181203,89.7196261682243,33.86941429599943,74.52907834814869,52.98655531058852,29.967426710097726,64.84076433121021,88.87737469226741,14.065122955847368,41.63162871120688,87.6190476190476,96.81274900398407,61.538449366633856,64.26523908666475,15.234532628515389,36.6890380313199,23.08573719201909,50.454779907603545,51.44312393887947,38.14455088047359,0.0,87.9017013232514,65.80830291512996,38.95520016937148,53.36391437308868,84.10596026490066,12.789419589770908,74.47034762603226
Claude Opus 4.5,35.802625580887046,91.95402298850571,89.47368421052632,91.51943462897526,51.04826352055132,85.1063829787234,48.76783398184177,19.612188822019323,5.738240172681193,56.801909307875874,88.12316206307136,79.26829268292683,10.66307192717322,57.207207207207205,59.96756868589512,45.3257790368272,0.8415655086373555,89.46608946608947,82.2310931949368,72.90322580645162,92.21556886227545,14.12467446061911,93.6448598130841,-6.573176094040089,90.92558983666062,113.4927017985815,100.0,70.95541401273886,76.5472312703583,64.00650836395666,15.729670733766161,92.38095238095237,84.67667790376954,69.37693327441451,31.908590987924352,59.56147047111031,85.68232662192392,48.86935147164378,2.222222222222215,99.83022071307302,71.12356729416206,68.0058651026393,100.0,87.55186721991701,97.8131212723658,83.63914373088684,62.44277923579057,10.835883510988344,0.0
Claude Opus 4.6,9.090909090909092,130.42623366035346,91.08151673431941,100.0,78.31355299041438,100.0,89.23476005188068,4.481881105907969,-17.224569009443353,95.46539379474939,101.56445811030073,100.0,15.94080574702109,83.33333333333333,71.1864406779661,99.1501416430595,0.0,95.67099567099568,96.42439990375858,78.06451612903224,108.21765740271904,16.852451808911553,93.45794392523365,-41.16515101614487,98.18511796733212,158.4692395334836,128.33010629717052,81.14649681528662,89.57654723127035,93.97434481166883,4.026608717901202,92.38095238095237,87.74134232301563,53.026955368979245,66.30036630036629,100.0,100.0,77.03136355851596,33.33333333333331,99.83022071307302,81.7347605845804,96.48093841642232,99.81096408317579,100.0,97.8131212723658,91.43730886850152,60.13440990143867,-6.509885947183558,-5.8804011414073605
Claude Sonnet 4,46.06438751577191,57.141649766081805,40.421052631578945,72.08480565371025,53.7763393814901,42.5531914893617,7.652399481193256,50.86393088552916,102.84933591152355,-15.943966524233389,21.12105293727269,27.106795043272733,21.247572087272644,43.602445534822984,8.63756208787808,14.831468804473728,129.76062159291777,72.72727272727275,84.8667894525233,4.516129032258064,0.0,25.649768139603353,80.37383177570094,17.590361445783127,86.5698729582577,13.13763745226139,6.988401110556882,46.11464968152867,91.20521172638436,1.5437520489551413,48.93454345677076,82.14285714285714,90.34630707937481,41.53778170570043,74.50616662085119,42.84551601867507,31.319910514541384,57.993961298054494,88.56069746468597,4.584040747028865,19.563693696462217,58.6510263929619,84.49905482041586,52.69709543568464,32.593595044473396,54.12844036697247,67.77041942604858,-7.218011164493904,98.26932326453168
Claude Sonnet 4.5,74.70597392295602,37.512669342119,87.36842105263158,84.68786808009423,10.195173015541934,67.76595744680851,17.639429312581065,61.278018531794125,77.34235029308671,-1.7990290743714994,73.16359379572724,66.53209048986756,37.15722120658135,30.63063063063063,18.574786913882495,14.280208155419649,2.3474117508991963,84.27128427128429,70.16431868143994,34.6236559139785,75.80838323353294,40.396166840078116,74.76635514018692,68.86622551798867,88.2032667876588,29.93915933460306,27.361563517915325,70.95541401273886,94.13680781758957,4.656716417910448,60.79981332660773,82.14285714285714,96.1691694759424,56.56208572691118,15.384615384615369,0.0,74.72035794183445,-3.46076082737133,-19.62567994099875,57.38539898132428,74.34782608695649,61.290322580645174,93.00567107750472,76.34854771784232,97.4155069582505,60.70336391437308,100.0,48.966981907540514,72.0196001274537
