model_name,AA Intelligence Index,AIME 2024,AIME 2025,ARC-AGI-1,ARC-AGI-2,Arena-Hard Auto,BrowseComp,BRUMO 2025,Chatbot Arena Elo,CMIMC 2025,Codeforces Rating,CritPt,FrontierMath,GPQA Diamond,GSM8K,HLE (Humanity's Last Exam),HMMT Feb 2025,HMMT Nov 2025,HumanEval,IFEval,LiveBench,LiveCodeBench,MATH-500,MathArena Apex 2025,MMLU,MMLU-Pro,MMMU,MMMU-Pro,MRCR v2,OSWorld,SimpleQA,SMT 2025,SWE-bench Pro,SWE-bench Verified,Tau-Bench Retail,Tau-Bench Telecom,Terminal-Bench 2.0,Terminal-Bench 1.0,USAMO 2025,Video-MMU
Claude 3.7 Sonnet,11.855948459477808,78.94736842105263,44.28739693757361,30.053475935828878,1.297016861219196,64.14686825053995,-9.45956747990244,0.0,20.73170731707317,-26.29061492399469,37.83783783783784,-16.58250213613948,0.0,86.29148629148628,69.85428445041575,-32.65830298427399,-22.5683033326683,25.255680756317204,91.58878504672897,96.73321234119783,2.0419191085823627,67.13375796178345,94.78827361563518,25.19010996572301,88.09523809523809,81.61201348452344,12.068019747668622,64.34111880194845,54.739707300635985,0.0,21.731748726655354,0.0,8.50439882697948,64.83931947069942,55.601659751037346,0.0,46.464182897942656,65.12141280353202,2.6245402875292543,54.06333668509409
Claude Haiku 4.5,77.98456985406466,78.85956984854656,95.64193168433451,50.481283422459896,5.188067444876784,97.93720440755601,-33.33400279505278,62.74808885924746,60.26732905000328,25.322347533234264,48.22530221804463,-3.460516884755812,-19.9545454999313,80.66378066378067,62.0962743356542,29.710705216065822,58.6037314463261,36.28391882120467,86.91588785046729,81.85117967332124,0.0,50.57324840764331,85.01628664495114,-9.517550721956255,71.42857142857143,77.01501685565431,25.611258907231203,6.6348742998903205,13.448071193916611,50.78299776286354,29.93714097881025,63.012742675116215,49.12023460410559,85.63327032136104,49.02992852696258,84.69636506450914,38.532110091743114,69.57958615263999,85.21298232570899,30.950502730403407
Claude Opus 4,33.07879558171153,74.21052631578947,88.22143698468787,37.64705882352942,11.154345006485086,59.61123110151188,2.9682979436276185,32.908286735531604,39.08463103773549,3.301841376978558,48.91891891891892,1.694915254237288,14.164305949008499,84.12698412698413,71.12615482018175,7.311827956989246,0.0,37.63210617891808,87.10800217306493,90.38112522686026,20.899034644648292,44.71337579617833,91.85667752442997,24.56248652513482,87.6190476190476,94.79007048728162,38.94679100383981,57.22663672785521,51.508148222172565,22.818791946308732,16.298811544991516,30.64627267221693,38.41642228739003,97.16446124763705,56.431535269709556,36.337625105025396,61.314984709480115,73.50993377483444,23.65477628270517,53.61874923482504
Claude Opus 4.1,56.0456362701079,80.21129077965276,40.63604240282685,72.76810118549804,17.302678959315685,48.78669031412659,12.730869031171544,63.79242663194869,57.88710265723064,62.30081317947552,56.31249729108475,17.13486188540652,28.328611898016998,80.66378066378067,57.66832064541176,67.31182795698925,48.52182057997848,81.02104244376986,89.7196261682243,81.55951821263511,29.967426710097726,64.8407643312102,97.2007038885973,11.838098521465993,87.6190476190476,96.81274900398407,50.540074398110626,56.13332665254909,23.19709911271579,36.6890380313199,51.44312393887947,68.76994585500134,0.0,87.90170132325142,67.11061869847457,66.08084768003607,53.36391437308868,84.10596026490066,48.25992178051068,59.933128017274555
Claude Opus 4.5,26.94115105013109,89.47368421052632,91.51943462897526,85.02673796791443,48.76783398184177,81.93768493981986,56.801909307875874,90.32467125761498,79.26829268292683,35.11676912738746,57.20720720720721,58.44907009829911,45.3257790368272,89.46608946608947,67.00796569371958,72.90322580645162,92.21556886227546,48.08182351493744,93.6448598130841,90.92558983666062,100.0,70.95541401273886,76.5472312703583,68.66623433717075,92.38095238095238,84.67667790376953,61.985737794843686,35.695923952429105,54.71093503519023,85.68232662192392,99.83022071307302,71.98823477232939,68.0058651026393,100.0,87.55186721991701,97.81312127236582,83.63914373088683,101.74947250013051,65.0778640190511,0.0
Claude Opus 4.6,9.090909090909092,77.46909042304337,100.0,100.0,89.23476005188068,76.50914199691586,95.46539379474939,95.30897842228131,100.0,34.839346253776995,83.33333333333334,71.1864406779661,99.1501416430595,95.67099567099568,80.09969684852142,78.06451612903224,95.78797217547161,48.07731140570724,93.45794392523365,98.18511796733212,119.08459338917925,81.14649681528662,89.57654723127035,101.34364385845461,92.38095238095238,87.74134232301563,41.68952276467361,66.30036630036629,100.0,100.0,99.83022071307302,69.90451684941529,96.48093841642232,99.81096408317579,100.0,97.81312127236582,91.43730886850152,93.49600926127421,38.12692391416276,19.639778274726822
Claude Sonnet 4,28.37650894390427,40.421052631578945,72.08480565371023,42.24598930481284,7.652399481193256,50.863930885529165,8.069416360259517,33.26785321356161,33.45353850927102,0.7070761590389765,40.78185051276818,0.427791898481118,9.0422282538801,72.72727272727273,70.8383680900869,4.516129032258063,0.0,35.257712122372276,80.37383177570094,86.5698729582577,19.964606580257353,46.11464968152866,91.20521172638436,27.571894201223216,82.14285714285714,90.34630707937481,27.42731760833792,55.19029066037928,57.14881950229494,31.319910514541384,4.584040747028864,29.10728234907927,58.6510263929619,84.49905482041588,52.69709543568464,39.077157552653645,54.12844036697248,67.77041942604856,23.476042466564977,50.39923224525618
Claude Sonnet 4.5,65.03528463705533,87.36842105263159,84.68786808009423,67.59358288770055,17.639429312581065,91.20284285319337,-13.86570834441573,73.16359379572724,76.4550402880489,37.15722120658135,30.630630630630627,17.503591936139316,4.812388436915988,84.27128427128429,57.38526416588665,34.623655913978496,75.80838323353294,45.667551694709154,74.76635514018692,88.2032667876588,27.36156351791533,70.95541401273886,94.13680781758956,4.656716417910448,82.14285714285714,96.16916947594238,46.077893582007654,15.38461538461537,0.0,74.72035794183445,57.385398981324286,74.34782608695649,61.290322580645174,93.00567107750473,76.34854771784232,97.4155069582505,60.70336391437308,100.0,90.65279233613376,16.582811251839225
Claude Sonnet 4.6,0.0,63.73320098360453,96.46643109540636,58.288770053475936,78.33981841763944,79.18336869748367,81.14558472553698,87.15673683955755,81.31693578047754,24.729500573577006,54.5045045045045,68.64580482165243,84.98583569405099,70.85137085137085,74.77818932423055,73.76344086021504,81.02614748503032,42.63410384504118,89.7196261682243,94.55535390199637,103.35324299731069,78.59872611464968,95.27687296416937,94.45721929408879,90.47619047619048,84.67667790376953,26.33022490400439,56.043956043956044,86.61800486618006,99.55257270693511,93.03904923599322,62.10320635932372,74.78005865102642,97.54253308128543,87.96680497925308,95.42743538767397,85.6269113149847,87.97804522725909,41.98280835060037,12.031503438065243
Command A,14.233817460347389,26.31578947368421,39.11637056573346,-15.324195641475995,5.139041416238493,72.89416846652269,83.47518517520643,60.20155921256185,21.758240081136115,25.16088026546408,9.099268459026995,29.0457824958023,47.13206682091073,28.860028860028862,82.2816434171218,33.31751455651425,30.652837708867825,46.552155387210526,70.84112149532712,80.58076225045372,56.003755506031496,20.0,68.40390879478826,62.81685573926671,79.76190476190477,59.39319644498927,5.212288480012731,75.913206040033,113.8143113051519,79.9914420991229,31.91850594227505,45.11840415916039,73.02989849634332,18.903591682419655,66.88950152292622,75.18371834016749,59.26643558762086,18.562038248171735,6.81031376278597,60.90187369925003
